parameter,fsmach,alpha,Cl_integration,Cl_surface,Cd_surface
0.0,0.23,8.0,1.41335642,1.41529715,0.0850218162
0.0,0.23,9.0,1.60202765,1.60365939,0.115778938
0.0,0.23,10.0,1.82451427,1.82094598,0.179861546
0.0,0.23,11.0,3.83664441,3.73957467,0.86881274
0.0,0.23,12.0,3.67202926,3.56260109,0.90076679
0.0,0.23,13.0,2.89488983,2.84303331,0.554443955
0.0,0.23,14.0,2.76429248,2.72685862,0.489554465
0.0,0.23,15.0,3.08732009,2.99870872,0.737155795
0.0,0.25,8.0,1.41065562,1.41246235,0.0857955441
0.0,0.25,9.0,1.59880495,1.59995544,0.11856401
0.0,0.25,10.0,2.0433085,2.02394772,0.288564146
0.0,0.25,11.0,4.22230434,4.10165977,1.02722263
0.0,0.25,12.0,2.88806319,2.83414865,0.557199776
0.0,0.25,13.0,2.56821513,2.54210138,0.405731022
0.0,0.25,14.0,2.92813039,2.84884357,0.677530408
0.0,0.25,15.0,3.13997579,2.997998,0.943254292
0.0,0.27,8.0,1.41027558,1.41190946,0.0869875178
0.0,0.27,9.0,1.596457,1.59691906,0.122728251
0.0,0.27,10.0,3.04532433,2.98414826,0.613375008
0.0,0.27,11.0,2.92758703,2.86907005,0.582932353
0.0,0.27,12.0,2.22857881,2.21486831,0.298733592
0.0,0.27,13.0,2.74944234,2.68540788,0.59062916
0.0,0.27,14.0,3.00129652,2.87186885,0.887615919
0.0,0.27,15.0,3.08338308,2.95794964,0.874062419
